ERROR: Component M287 is not in a mock fail state
ERROR: Component P180 is not currently installed
[OBSERVER] Component P604 changed from PENDING to INSTALLED
[OBSERVER] Component M715 changed from PENDING to INSTALLED
[OBSERVER] Component M863 changed from PENDING to INSTALLED
[OBSERVER] Component M270 changed from PENDING to INSTALLED
[OBSERVER] Component M896 changed from PENDING to INSTALLED
[OBSERVER] Component P294 changed from PENDING to INSTALLED
[OBSERVER] Component M468 changed from PENDING to INSTALLED
ERROR: Component GHOST_P does not exist
[OBSERVER] Component M636 changed from PENDING to INSTALLED
[OBSERVER] Component P612 changed from PENDING to INSTALLED
[OBSERVER] Component M462 changed from PENDING to INSTALLED
[OBSERVER] Component P617 changed from PENDING to INSTALLED
[OBSERVER] Component P455 changed from PENDING to INSTALLED
[OBSERVER] Component M596 changed from PENDING to INSTALLED
[OBSERVER] Component M736 changed from PENDING to INSTALLED
[OBSERVER] Component M161 changed from PENDING to INSTALLED
[OBSERVER] Component P435 changed from PENDING to INSTALLED
[OBSERVER] Component M514 changed from PENDING to INSTALLED
[OBSERVER] Component M268 changed from PENDING to INSTALLED
[OBSERVER] Component P355 changed from PENDING to INSTALLED
[OBSERVER] Component P11 changed from PENDING to INSTALLED
ERROR: Cannot attach to a module
[OBSERVER] Component M739 changed from PENDING to INSTALLED
[OBSERVER] Component M866 changed from PENDING to INSTALLED
[OBSERVER] Component M330 changed from PENDING to INSTALLED
[OBSERVER] Component M112 changed from PENDING to INSTALLED
[OBSERVER] Component M336 changed from PENDING to INSTALLED
[OBSERVER] Component P353 changed from PENDING to INSTALLED
[OBSERVER] Component M898 changed from PENDING to INSTALLED
[OBSERVER] Component M463 changed from PENDING to INSTALLED
[OBSERVER] Component M551 changed from PENDING to INSTALLED
[OBSERVER] Component M241 changed from PENDING to INSTALLED
[OBSERVER] Component M394 changed from PENDING to INSTALLED
[OBSERVER] Component M719 changed from PENDING to INSTALLED
[OBSERVER] Component P281 changed from PENDING to INSTALLED
ERROR: Component M834 is not currently installed
[OBSERVER] Component M126 changed from PENDING to INSTALLED
[OBSERVER] Component P400 changed from PENDING to INSTALLED
[OBSERVER] Component M21 changed from PENDING to INSTALLED
[OBSERVER] Component M574 changed from PENDING to INSTALLED
[OBSERVER] Component M31 changed from PENDING to INSTALLED
[OBSERVER] Component M18 changed from PENDING to INSTALLED
[OBSERVER] Component M568 changed from PENDING to INSTALLED
[OBSERVER] Component M770 changed from PENDING to INSTALLED
[OBSERVER] Component M646 changed from PENDING to INSTALLED
[OBSERVER] Component M362 changed from PENDING to INSTALLED
[OBSERVER] Component P493 changed from PENDING to INSTALLED
[OBSERVER] Component P181 changed from PENDING to INSTALLED
[OBSERVER] Component P124 changed from PENDING to INSTALLED
ERROR: Invalid command
[OBSERVER] Component M26 changed from PENDING to INSTALLED
[OBSERVER] Component M477 changed from PENDING to INSTALLED
ERROR: Component P195 is not in a mock fail state
[OBSERVER] Component M47 changed from PENDING to INSTALLED
ERROR: Component M494 is not currently installed
ERROR: Component GHOST_P does not exist
ERROR: Invalid command
ERROR: Component M394 is required by another package
[OBSERVER] Component M144 changed from PENDING to INSTALLED
ERROR: Component M714 is not currently installed
[OBSERVER] Component M28 changed from PENDING to INSTALLED
ERROR: Component M926 is not currently installed
[OBSERVER] Component M527 changed from PENDING to INSTALLED
[OBSERVER] Component M606 changed from PENDING to INSTALLED
[OBSERVER] Component M249 changed from PENDING to INSTALLED
[OBSERVER] Component M789 changed from PENDING to INSTALLED
[OBSERVER] Component P487 changed from PENDING to INSTALLED
[OBSERVER] Component M49 changed from PENDING to INSTALLED
[OBSERVER] Component M400 changed from PENDING to INSTALLED
[OBSERVER] Component P116 changed from PENDING to INSTALLED
ERROR: Component P4 is not in a mock fail state
[OBSERVER] Component M787 changed from PENDING to INSTALLED
[OBSERVER] Component P617 changed from INSTALLED to PENDING
[OBSERVER] Component P612 changed from INSTALLED to PENDING
[OBSERVER] Component P604 changed from INSTALLED to PENDING
[OBSERVER] Component P493 changed from INSTALLED to PENDING
[OBSERVER] Component P487 changed from INSTALLED to PENDING
[OBSERVER] Component P455 changed from INSTALLED to PENDING
[OBSERVER] Component P435 changed from INSTALLED to PENDING
[OBSERVER] Component P400 changed from INSTALLED to PENDING
[OBSERVER] Component P355 changed from INSTALLED to PENDING
[OBSERVER] Component P353 changed from INSTALLED to PENDING
[OBSERVER] Component P294 changed from INSTALLED to PENDING
[OBSERVER] Component P281 changed from INSTALLED to PENDING
[OBSERVER] Component P181 changed from INSTALLED to PENDING
[OBSERVER] Component P124 changed from INSTALLED to PENDING
[OBSERVER] Component P116 changed from INSTALLED to PENDING
[OBSERVER] Component P11 changed from INSTALLED to PENDING
[OBSERVER] Component M898 changed from INSTALLED to PENDING
[OBSERVER] Component M896 changed from INSTALLED to PENDING
[OBSERVER] Component M866 changed from INSTALLED to PENDING
[OBSERVER] Component M863 changed from INSTALLED to PENDING
[OBSERVER] Component M789 changed from INSTALLED to PENDING
[OBSERVER] Component M787 changed from INSTALLED to PENDING
[OBSERVER] Component M770 changed from INSTALLED to PENDING
[OBSERVER] Component M739 changed from INSTALLED to PENDING
